TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHI,CHI vs. TOR,10/27/2023,W,265,104,37,99,37.4,8,39,20.5,22,28,78.6,15,37,52,18,10,5,17,22,1
DAL,DAL vs. BKN,10/27/2023,W,240,125,44,91,48.4,15,36,41.7,22,28,78.6,8,32,40,20,5,2,9,15,5
BKN,BKN @ DAL,10/27/2023,L,240,120,45,92,48.9,21,43,48.8,9,10,90.0,10,37,47,30,5,4,16,28,-5
CLE,CLE vs. OKC,10/27/2023,L,240,105,38,92,41.3,12,45,26.7,17,23,73.9,8,40,48,20,10,8,14,16,-3
OKC,OKC @ CLE,10/27/2023,W,240,108,40,87,46.0,13,26,50.0,15,19,78.9,6,41,47,22,8,10,18,17,3
MIA,MIA @ BOS,10/27/2023,L,240,111,38,89,42.7,16,33,48.5,19,23,82.6,11,34,45,24,8,6,12,16,-8
BOS,BOS vs. MIA,10/27/2023,W,240,119,45,95,47.4,16,39,41.0,13,19,68.4,16,39,55,20,7,6,15,19,8
PHI,PHI @ MIL,10/26/2023,L,240,117,41,80,51.3,16,35,45.7,19,28,67.9,4,35,39,25,8,4,15,28,-1
MIL,MIL vs. PHI,10/26/2023,W,240,118,41,81,50.6,11,30,36.7,25,36,69.4,8,35,43,20,9,4,14,23,1
LAL,LAL vs. PHX,10/26/2023,W,240,100,36,84,42.9,5,29,17.2,23,29,79.3,8,34,42,24,14,7,16,23,5
PHX,PHX @ LAL,10/26/2023,L,240,95,34,81,42.0,9,31,29.0,18,23,78.3,10,39,49,16,7,3,24,21,-5
LAC,LAC vs. POR,10/25/2023,W,240,123,47,90,52.2,16,34,47.1,13,16,81.3,14,31,45,36,11,7,18,20,12
POR,POR @ LAC,10/25/2023,L,240,111,44,93,47.3,10,32,31.3,13,17,76.5,15,25,40,20,10,4,18,20,-12
ORL,ORL vs. HOU,10/25/2023,W,240,116,42,87,48.3,9,34,26.5,23,26,88.5,17,40,57,19,8,6,16,20,30
HOU,HOU @ ORL,10/25/2023,L,240,86,32,79,40.5,12,34,35.3,10,16,62.5,7,24,31,19,6,3,19,24,-30
SAS,SAS vs. DAL,10/25/2023,L,240,119,46,89,51.7,11,35,31.4,16,22,72.7,9,36,45,33,8,5,19,23,-7
DAL,DAL @ SAS,10/25/2023,W,240,126,47,99,47.5,15,47,31.9,17,23,73.9,13,35,48,24,6,3,12,20,7
UTA,UTA vs. SAC,10/25/2023,L,240,114,41,91,45.1,9,28,32.1,23,31,74.2,16,38,54,22,6,2,14,20,-16
SAC,SAC @ UTA,10/25/2023,W,240,130,47,102,46.1,19,51,37.3,17,20,85.0,15,30,45,29,6,8,12,25,16
NOP,NOP @ MEM,10/25/2023,W,240,111,40,85,47.1,14,32,43.8,17,22,77.3,11,41,52,22,8,5,21,21,7
MEM,MEM vs. NOP,10/25/2023,L,240,104,38,91,41.8,12,43,27.9,16,20,80.0,8,29,37,23,8,7,13,19,-7
OKC,OKC @ CHI,10/25/2023,W,240,124,45,82,54.9,19,39,48.7,15,18,83.3,5,38,43,30,6,4,16,19,20
CHI,CHI vs. OKC,10/25/2023,L,240,104,39,94,41.5,12,42,28.6,14,18,77.8,13,29,42,26,10,3,13,16,-20
MIN,MIN @ TOR,10/25/2023,L,240,94,34,100,34.0,8,31,25.8,18,22,81.8,16,46,62,20,8,9,14,14,-3
TOR,TOR vs. MIN,10/25/2023,W,240,97,36,90,40.0,14,35,40.0,11,16,68.8,8,39,47,27,9,11,14,18,3
BKN,BKN vs. CLE,10/25/2023,L,240,113,42,84,50.0,9,27,33.3,20,26,76.9,13,37,50,30,6,6,18,16,-1
CLE,CLE @ BKN,10/25/2023,W,240,114,44,94,46.8,17,43,39.5,9,10,90.0,9,29,38,25,10,6,10,23,1
DET,DET @ MIA,10/25/2023,L,240,102,41,92,44.6,11,32,34.4,9,15,60.0,17,39,56,28,3,13,17,23,-1
MIA,MIA vs. DET,10/25/2023,W,240,103,37,92,40.2,8,22,36.4,21,26,80.8,16,32,48,22,11,3,7,18,1
NYK,NYK vs. BOS,10/25/2023,L,240,104,36,97,37.1,18,41,43.9,14,26,53.8,17,30,47,24,9,0,11,22,-4
BOS,BOS @ NYK,10/25/2023,W,240,108,37,77,48.1,12,39,30.8,22,26,84.6,7,39,46,18,6,11,13,22,4
CHA,CHA vs. ATL,10/25/2023,W,240,116,43,86,50.0,11,37,29.7,19,26,73.1,12,39,51,34,5,3,19,21,6
ATL,ATL @ CHA,10/25/2023,L,240,110,39,93,41.9,5,29,17.2,27,33,81.8,12,30,42,24,12,1,12,19,-6
IND,IND vs. WAS,10/25/2023,W,240,143,56,107,52.3,20,43,46.5,11,12,91.7,10,41,51,38,10,8,12,23,23
WAS,WAS @ IND,10/25/2023,L,240,120,44,96,45.8,9,24,37.5,23,29,79.3,11,34,45,28,6,9,14,11,-23
DEN,DEN vs. LAL,10/24/2023,W,240,119,48,91,52.7,14,34,41.2,9,12,75.0,9,33,42,29,9,6,12,15,12
LAL,LAL @ DEN,10/24/2023,L,240,107,41,90,45.6,10,29,34.5,15,20,75.0,13,31,44,23,5,4,12,18,-12
GSW,GSW vs. PHX,10/24/2023,L,240,104,36,101,35.6,10,43,23.3,22,28,78.6,18,31,49,19,11,6,11,23,-4
PHX,PHX @ GSW,10/24/2023,W,240,108,42,95,44.2,11,33,33.3,13,17,76.5,17,43,60,23,5,7,19,22,4











