TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CLE,CLE vs. POR,11/30/2023,L,240,95,38,89,42.7,7,32,21.9,12,12,100,14,21,35,25,12,2,19,15,-8
CHA,CHA @ BKN,11/30/2023,W,240,129,46,91,50.5,21,36,58.3,16,16,100,13,28,41,30,6,7,9,16,1
BKN,BKN vs. CHA,11/30/2023,L,240,128,52,105,49.5,14,36,38.9,10,15,66.7,22,30,52,21,6,4,9,11,-1
MIA,MIA vs. IND,11/30/2023,W,240,142,48,86,55.8,8,21,38.1,38,45,84.4,10,38,48,25,4,1,14,28,10
IND,IND @ MIA,11/30/2023,L,240,132,50,98,51.0,11,43,25.6,21,32,65.6,10,24,34,30,11,5,10,31,-10
MIN,MIN vs. UTA,11/30/2023,W,240,101,39,89,43.8,13,35,37.1,10,13,76.9,10,32,42,29,13,7,12,16,11
ORL,ORL vs. WAS,11/29/2023,W,240,139,51,84,60.7,17,27,63.0,20,24,83.3,9,35,44,34,5,6,19,22,19
WAS,WAS @ ORL,11/29/2023,L,240,120,41,87,47.1,11,29,37.9,27,35,77.1,7,22,29,28,14,3,10,20,-19
PHX,PHX @ TOR,11/29/2023,L,240,105,38,94,40.4,7,26,26.9,22,23,95.7,12,35,47,25,3,5,10,15,-7
TOR,TOR vs. PHX,11/29/2023,W,240,112,42,93,45.2,10,27,37.0,18,21,85.7,15,34,49,25,7,5,10,22,7
PHI,PHI @ NOP,11/29/2023,L,240,114,42,81,51.9,14,34,41.2,16,18,88.9,8,22,30,28,8,7,21,26,-10
NOP,NOP vs. PHI,11/29/2023,W,240,124,42,78,53.8,10,30,33.3,30,34,88.2,13,27,40,33,11,4,21,22,10
HOU,HOU @ DEN,11/29/2023,L,240,124,47,86,54.7,16,41,39.0,14,19,73.7,8,27,35,27,3,5,9,20,-10
DEN,DEN vs. HOU,11/29/2023,W,240,134,48,95,50.5,19,43,44.2,19,26,73.1,13,28,41,37,4,2,4,18,10
DET,DET vs. LAL,11/29/2023,L,240,107,40,97,41.2,15,36,41.7,12,14,85.7,10,29,39,28,8,3,14,31,-26
LAL,LAL @ DET,11/29/2023,W,240,133,45,88,51.1,12,34,35.3,31,38,81.6,8,41,49,28,7,10,12,12,26
UTA,UTA @ MEM,11/29/2023,L,240,91,34,90,37.8,16,39,41.0,7,12,58.3,12,27,39,26,8,8,18,14,-14
MEM,MEM vs. UTA,11/29/2023,W,240,105,43,87,49.4,13,39,33.3,6,8,75.0,12,39,51,26,9,10,17,15,14
SAC,SAC vs. LAC,11/29/2023,L,240,117,40,86,46.5,13,41,31.7,24,28,85.7,13,34,47,22,1,1,14,20,-14
LAC,LAC @ SAC,11/29/2023,W,240,131,50,93,53.8,14,28,50.0,17,22,77.3,8,29,37,28,8,5,7,20,14
NYK,NYK vs. CHA,11/28/2023,W,240,115,41,88,46.6,15,38,39.5,18,20,90.0,15,39,54,21,10,7,16,12,24
BOS,BOS vs. CHI,11/28/2023,W,240,124,47,90,52.2,21,49,42.9,9,12,75.0,11,41,52,36,6,9,16,18,27
CHI,CHI @ BOS,11/28/2023,L,240,97,39,90,43.3,9,28,32.1,10,18,55.6,9,28,37,25,11,7,8,13,-27
CHA,CHA @ NYK,11/28/2023,L,240,91,37,89,41.6,13,31,41.9,4,7,57.1,13,28,41,21,8,2,17,14,-24
TOR,TOR @ BKN,11/28/2023,L,240,103,39,101,38.6,13,36,36.1,12,19,63.2,15,31,46,27,11,3,7,21,-12
BKN,BKN vs. TOR,11/28/2023,W,240,115,40,89,44.9,13,38,34.2,22,26,84.6,13,46,59,26,7,8,15,17,12
CLE,CLE vs. ATL,11/28/2023,W,240,128,50,93,53.8,13,36,36.1,15,17,88.2,12,43,55,27,8,12,17,20,23
ATL,ATL @ CLE,11/28/2023,L,240,105,35,101,34.7,13,44,29.5,22,24,91.7,14,30,44,21,9,3,11,16,-23
MIL,MIL @ MIA,11/28/2023,W,240,131,47,88,53.4,13,35,37.1,24,27,88.9,8,37,45,26,3,4,9,21,7
MIA,MIA vs. MIL,11/28/2023,L,240,124,48,94,51.1,14,30,46.7,14,21,66.7,8,27,35,32,3,5,6,22,-7
MIN,MIN vs. OKC,11/28/2023,W,240,106,33,78,42.3,14,33,42.4,26,32,81.3,10,41,51,18,3,9,20,17,3
DAL,DAL vs. HOU,11/28/2023,W,240,121,42,89,47.2,12,34,35.3,25,29,86.2,9,29,38,25,5,4,7,25,6
HOU,HOU @ DAL,11/28/2023,L,240,115,42,85,49.4,8,29,27.6,23,29,79.3,10,30,40,33,2,6,12,27,-6
SAC,SAC vs. GSW,11/28/2023,W,240,124,41,91,45.1,15,44,34.1,27,42,64.3,12,34,46,25,8,7,10,23,1
GSW,GSW @ SAC,11/28/2023,L,240,123,40,83,48.2,17,41,41.5,26,30,86.7,9,43,52,25,6,6,20,31,-1
OKC,OKC @ MIN,11/28/2023,L,240,103,37,90,41.1,11,30,36.7,18,23,78.3,9,27,36,22,8,4,10,23,-3
DET,DET vs. WAS,11/27/2023,L,240,107,43,102,42.2,8,38,21.1,13,19,68.4,18,31,49,29,7,11,17,22,-19
WAS,WAS @ DET,11/27/2023,W,240,126,45,89,50.6,10,29,34.5,26,28,92.9,6,40,46,29,8,6,16,19,19
POR,POR @ IND,11/27/2023,W,240,114,40,85,47.1,9,18,50.0,25,31,80.6,9,29,38,20,6,4,16,21,4
IND,IND vs. POR,11/27/2023,L,240,110,42,88,47.7,8,33,24.2,18,24,75.0,10,32,42,26,10,6,20,24,-4
LAC,LAC vs. DEN,11/27/2023,L,240,104,35,85,41.2,6,20,30.0,28,34,82.4,16,33,49,18,6,9,13,23,-9
DEN,DEN @ LAC,11/27/2023,W,240,113,44,92,47.8,10,22,45.5,15,28,53.6,18,34,52,28,8,6,11,22,9
LAL,LAL @ PHI,11/27/2023,L,240,94,39,83,47.0,7,28,25.0,9,13,69.2,6,26,32,23,3,4,17,18,-44
PHI,PHI vs. LAL,11/27/2023,W,240,138,47,93,50.5,22,46,47.8,22,26,84.6,15,33,48,33,11,2,7,17,44
UTA,UTA vs. NOP,11/27/2023,W,240,114,37,88,42.0,17,48,35.4,23,28,82.1,9,34,43,31,6,4,10,23,2
NOP,NOP @ UTA,11/27/2023,L,240,112,44,88,50.0,7,22,31.8,17,25,68.0,11,37,48,27,5,1,8,25,-2
POR,POR @ MIL,11/26/2023,L,240,102,37,91,40.7,13,32,40.6,15,20,75.0,11,29,40,21,15,4,20,26,-6
MIL,MIL vs. POR,11/26/2023,W,240,108,35,89,39.3,14,42,33.3,24,32,75.0,18,34,52,19,13,11,17,20,6
CHI,CHI @ BKN,11/26/2023,L,240,109,40,83,48.2,12,32,37.5,17,22,77.3,10,30,40,21,3,2,11,18,-9
BKN,BKN vs. CHI,11/26/2023,W,240,118,41,83,49.4,25,53,47.2,11,15,73.3,8,31,39,29,7,2,11,19,9
TOR,TOR @ CLE,11/26/2023,L,240,102,37,89,41.6,8,32,25.0,20,29,69.0,17,33,50,17,9,3,12,11,-3
CLE,CLE vs. TOR,11/26/2023,W,240,105,45,97,46.4,10,31,32.3,5,6,83.3,12,37,49,29,2,5,14,18,3
MEM,MEM vs. MIN,11/26/2023,L,240,97,34,88,38.6,10,37,27.0,19,27,70.4,11,24,35,24,4,4,14,18,-22
MIN,MIN @ MEM,11/26/2023,W,240,119,43,81,53.1,15,34,44.1,18,23,78.3,6,36,42,30,5,5,16,26,22
ATL,ATL @ BOS,11/26/2023,L,240,103,36,88,40.9,19,53,35.8,12,19,63.2,11,32,43,15,5,4,16,17,-10
BOS,BOS vs. ATL,11/26/2023,W,240,113,42,95,44.2,13,47,27.7,16,20,80.0,18,40,58,24,9,3,13,19,10
NYK,NYK vs. PHX,11/26/2023,L,240,113,39,86,45.3,12,29,41.4,23,32,71.9,13,25,38,18,7,5,7,19,-3
PHX,PHX @ NYK,11/26/2023,W,240,116,42,91,46.2,16,38,42.1,16,21,76.2,18,29,47,27,4,11,13,25,3
DEN,DEN vs. SAS,11/26/2023,W,240,132,50,89,56.2,12,28,42.9,20,25,80.0,11,34,45,38,8,3,20,25,12
SAS,SAS @ DEN,11/26/2023,L,240,120,42,93,45.2,14,37,37.8,22,26,84.6,10,25,35,34,10,6,15,22,-12
ORL,ORL vs. CHA,11/26/2023,W,240,130,47,87,54.0,10,27,37.0,26,33,78.8,7,37,44,33,10,3,15,26,13
CHA,CHA @ ORL,11/26/2023,L,240,117,44,83,53.0,13,30,43.3,16,25,64.0,5,31,36,27,6,7,18,26,-13
NOP,NOP @ UTA,11/25/2023,L,240,100,39,93,41.9,11,36,30.6,11,18,61.1,13,29,42,31,15,4,13,17,-5
LAL,LAL @ CLE,11/25/2023,W,240,121,47,90,52.2,9,27,33.3,18,21,85.7,9,35,44,34,9,8,18,15,6
CLE,CLE vs. LAL,11/25/2023,L,240,115,43,91,47.3,9,28,32.1,20,23,87.0,7,30,37,30,13,4,14,16,-6
OKC,OKC vs. PHI,11/25/2023,L,240,123,43,98,43.9,16,43,37.2,21,26,80.8,13,25,38,29,3,3,4,27,-4
PHI,PHI @ OKC,11/25/2023,W,240,127,38,83,45.8,14,41,34.1,37,45,82.2,17,32,49,30,2,9,13,26,4
BKN,BKN vs. MIA,11/25/2023,W,240,112,39,78,50.0,14,36,38.9,20,23,87.0,8,34,42,27,11,9,13,18,15
MIA,MIA @ BKN,11/25/2023,L,240,97,38,87,43.7,11,34,32.4,10,13,76.9,13,31,44,24,6,3,18,18,-15
LAC,LAC vs. DAL,11/25/2023,W,240,107,38,88,43.2,8,29,27.6,23,31,74.2,17,40,57,25,2,6,13,16,19
DAL,DAL @ LAC,11/25/2023,L,240,88,34,91,37.4,9,38,23.7,11,14,78.6,10,27,37,17,6,5,9,24,-19
ATL,ATL @ WAS,11/25/2023,W,240,136,52,102,51.0,18,37,48.6,14,20,70.0,17,32,49,29,13,2,10,15,28
WAS,WAS vs. ATL,11/25/2023,L,240,108,43,88,48.9,10,38,26.3,12,12,100,8,33,41,33,5,6,20,17,-28
UTA,UTA vs. NOP,11/25/2023,W,240,105,38,87,43.7,15,43,34.9,14,17,82.4,14,38,52,23,8,6,24,13,5
SAC,SAC @ MIN,11/24/2023,W,240,124,49,100,49.0,17,35,48.6,9,11,81.8,14,32,46,25,7,4,13,19,13
MIN,MIN vs. SAC,11/24/2023,L,240,111,36,82,43.9,12,33,36.4,27,29,93.1,10,34,44,25,6,9,18,18,-13
TOR,TOR vs. CHI,11/24/2023,W,240,121,44,83,53.0,13,39,33.3,20,27,74.1,13,27,40,32,8,6,14,14,13
CHI,CHI @ TOR,11/24/2023,L,240,108,42,82,51.2,12,27,44.4,12,19,63.2,9,28,37,20,5,2,13,20,-13
ORL,ORL vs. BOS,11/24/2023,W,240,113,43,85,50.6,11,28,39.3,16,22,72.7,13,35,48,23,5,3,18,28,17
BOS,BOS @ ORL,11/24/2023,L,240,96,31,76,40.8,7,29,24.1,27,37,73.0,4,27,31,17,10,4,15,18,-17
MIA,MIA @ NYK,11/24/2023,L,240,98,34,87,39.1,10,37,27.0,20,21,95.2,10,31,41,20,11,0,11,19,-2
NYK,NYK vs. MIA,11/24/2023,W,240,100,39,81,48.1,10,29,34.5,12,18,66.7,6,40,46,21,7,2,19,14,2
MIL,MIL vs. WAS,11/24/2023,W,240,131,48,92,52.2,9,31,29.0,26,33,78.8,10,40,50,28,6,6,9,22,3
WAS,WAS @ MIL,11/24/2023,L,240,128,48,100,48.0,15,37,40.5,17,21,81.0,12,34,46,29,3,4,9,24,-3
HOU,HOU vs. DEN,11/24/2023,W,240,105,40,82,48.8,12,29,41.4,13,15,86.7,6,43,49,25,9,9,14,21,19
DEN,DEN @ HOU,11/24/2023,L,240,86,32,94,34.0,7,30,23.3,15,21,71.4,16,30,46,17,8,4,15,14,-19
DET,DET @ IND,11/24/2023,L,240,113,43,90,47.8,7,18,38.9,20,24,83.3,14,29,43,22,6,11,14,18,-23
IND,IND vs. DET,11/24/2023,W,240,136,49,102,48.0,16,38,42.1,22,24,91.7,15,25,40,24,7,8,9,21,23
GSW,GSW vs. SAS,11/24/2023,W,240,118,40,81,49.4,19,42,45.2,19,24,79.2,7,34,41,35,7,2,24,21,6
SAS,SAS @ GSW,11/24/2023,L,240,112,45,100,45.0,12,47,25.5,10,12,83.3,15,31,46,28,10,3,20,18,-6
MEM,MEM vs. PHX,11/24/2023,L,240,89,37,80,46.3,9,33,27.3,6,10,60.0,6,29,35,22,6,2,15,22,-21
PHX,PHX @ MEM,11/24/2023,W,240,110,39,76,51.3,11,31,35.5,21,28,75.0,7,34,41,22,10,6,13,12,21
NOP,NOP @ LAC,11/24/2023,W,240,116,43,88,48.9,10,24,41.7,20,27,74.1,12,38,50,26,6,5,15,19,10
LAC,LAC vs. NOP,11/24/2023,L,240,106,42,92,45.7,11,37,29.7,11,17,64.7,8,31,39,27,11,8,11,24,-10
DEN,DEN @ ORL,11/22/2023,L,240,119,44,93,47.3,15,35,42.9,16,21,76.2,17,25,42,29,6,2,12,25,-5
CHA,CHA vs. WAS,11/22/2023,W,240,117,43,91,47.3,16,37,43.2,15,21,71.4,11,38,49,27,6,4,13,15,3
ORL,ORL vs. DEN,11/22/2023,W,240,124,44,81,54.3,10,29,34.5,26,30,86.7,11,30,41,27,9,7,12,21,5
WAS,WAS @ CHA,11/22/2023,L,240,114,44,97,45.4,11,32,34.4,15,18,83.3,11,36,47,26,7,3,10,18,-3
BOS,BOS vs. MIL,11/22/2023,W,240,119,44,84,52.4,17,42,40.5,14,17,82.4,4,39,43,27,3,5,15,15,3
MIL,MIL @ BOS,11/22/2023,L,240,116,45,101,44.6,13,34,38.2,13,17,76.5,13,34,47,23,9,2,9,19,-3
TOR,TOR @ IND,11/22/2023,W,240,132,48,90,53.3,11,27,40.7,25,30,83.3,13,33,46,26,7,3,19,15,1
IND,IND vs. TOR,11/22/2023,L,240,131,50,91,54.9,18,39,46.2,13,16,81.3,5,26,31,33,10,6,15,24,-1
ATL,ATL vs. BKN,11/22/2023,W,265,147,51,116,44.0,18,49,36.7,27,29,93.1,22,36,58,24,10,8,14,18,2
CHI,CHI @ OKC,11/22/2023,L,240,102,34,88,38.6,17,44,38.6,17,17,100,11,27,38,22,7,2,12,26,-14
OKC,OKC vs. CHI,11/22/2023,W,240,116,37,75,49.3,11,29,37.9,31,38,81.6,11,34,45,24,4,12,14,17,14
LAC,LAC @ SAS,11/22/2023,W,240,109,39,85,45.9,9,28,32.1,22,29,75.9,11,39,50,29,10,3,16,23,7
SAS,SAS vs. LAC,11/22/2023,L,240,102,35,91,38.5,11,38,28.9,21,23,91.3,10,34,44,26,8,6,14,24,-7
HOU,HOU vs. MEM,11/22/2023,W,240,111,40,92,43.5,14,43,32.6,17,20,85.0,6,43,49,22,6,6,7,22,20
MEM,MEM @ HOU,11/22/2023,L,240,91,27,82,32.9,7,32,21.9,30,35,85.7,9,37,46,17,3,7,9,19,-20
SAC,SAC @ NOP,11/22/2023,L,240,112,34,76,44.7,15,44,34.1,29,35,82.9,4,34,38,22,3,1,16,25,-5
NOP,NOP vs. SAC,11/22/2023,W,240,117,41,87,47.1,7,30,23.3,28,37,75.7,13,35,48,23,10,2,10,28,5
POR,POR vs. UTA,11/22/2023,W,240,121,47,92,51.1,17,39,43.6,10,15,66.7,14,23,37,31,9,6,14,21,16
UTA,UTA @ POR,11/22/2023,L,240,105,37,79,46.8,10,31,32.3,21,26,80.8,14,30,44,25,7,3,24,13,-16
PHI,PHI @ MIN,11/22/2023,L,240,99,34,87,39.1,7,32,21.9,24,30,80.0,16,32,48,21,9,12,15,23,-13
MIN,MIN vs. PHI,11/22/2023,W,240,112,43,89,48.3,10,26,38.5,16,24,66.7,10,38,48,28,10,8,13,21,13
MIA,MIA @ CLE,11/22/2023,W,240,129,46,88,52.3,20,35,57.1,17,21,81.0,10,31,41,30,11,7,12,19,33
CLE,CLE vs. MIA,11/22/2023,L,240,96,36,77,46.8,14,30,46.7,10,14,71.4,7,27,34,25,5,6,19,17,-33
LAL,LAL vs. DAL,11/22/2023,L,240,101,39,84,46.4,11,29,37.9,12,19,63.2,9,42,51,26,1,2,13,17,-3
DAL,DAL @ LAL,11/22/2023,W,240,104,38,96,39.6,16,50,32.0,12,16,75.0,11,37,48,21,5,4,4,18,3
BKN,BKN @ ATL,11/22/2023,L,265,145,55,113,48.7,15,35,42.9,20,24,83.3,22,37,59,28,8,6,16,24,-2
PHX,PHX vs. GSW,11/22/2023,W,240,123,34,76,44.7,11,28,39.3,44,52,84.6,11,32,43,22,9,8,15,22,8
GSW,GSW @ PHX,11/22/2023,L,240,115,43,90,47.8,10,32,31.3,19,29,65.5,11,32,43,29,10,3,16,34,-8
TOR,TOR @ ORL,11/21/2023,L,240,107,38,75,50.7,14,28,50.0,17,22,77.3,5,33,38,29,6,6,24,20,-19
ORL,ORL vs. TOR,11/21/2023,W,240,126,50,100,50.0,12,31,38.7,14,20,70.0,15,25,40,31,12,8,13,19,19
IND,IND @ ATL,11/21/2023,W,240,157,57,94,60.6,22,45,48.9,21,28,75.0,7,22,29,35,7,11,14,25,5
ATL,ATL vs. IND,11/21/2023,L,240,152,57,95,60.0,15,31,48.4,23,28,82.1,12,27,39,28,8,4,15,23,-5
PHI,PHI vs. CLE,11/21/2023,L,265,119,40,96,41.7,11,35,31.4,28,34,82.4,14,30,44,19,12,8,14,25,-3
CLE,CLE @ PHI,11/21/2023,W,265,122,46,94,48.9,9,25,36.0,21,25,84.0,14,42,56,33,9,4,16,21,3
PHX,PHX vs. POR,11/21/2023,W,240,120,43,76,56.6,7,17,41.2,27,28,96.4,11,27,38,26,8,8,15,18,13
POR,POR @ PHX,11/21/2023,L,240,107,38,87,43.7,14,31,45.2,17,20,85.0,12,18,30,20,8,3,13,20,-13
LAL,LAL vs. UTA,11/21/2023,W,240,131,49,86,57.0,11,29,37.9,22,27,81.5,9,43,52,35,6,5,15,15,32
UTA,UTA @ LAL,11/21/2023,L,240,99,38,98,38.8,11,44,25.0,12,16,75.0,13,29,42,25,6,3,14,22,-32
HOU,HOU @ GSW,11/20/2023,L,240,116,44,95,46.3,13,41,31.7,15,19,78.9,15,33,48,28,6,3,8,24,-5
GSW,GSW vs. HOU,11/20/2023,W,240,121,36,77,46.8,21,43,48.8,28,33,84.8,8,35,43,26,3,1,8,21,5
BOS,BOS @ CHA,11/20/2023,L,265,118,42,97,43.3,16,50,32.0,18,28,64.3,11,37,48,19,6,8,15,15,-3
CHA,CHA vs. BOS,11/20/2023,W,265,121,46,104,44.2,13,39,33.3,16,17,94.1,17,40,57,29,9,7,13,18,3
SAS,SAS vs. LAC,11/20/2023,L,240,99,39,90,43.3,10,38,26.3,11,14,78.6,13,36,49,23,4,7,16,17,-25
LAC,LAC @ SAS,11/20/2023,W,240,124,45,95,47.4,12,36,33.3,22,25,88.0,10,41,51,30,15,3,7,10,25
WAS,WAS vs. MIL,11/20/2023,L,240,129,55,99,55.6,10,29,34.5,9,11,81.8,5,21,26,29,6,4,4,19,-13
MIL,MIL @ WAS,11/20/2023,W,240,142,55,94,58.5,11,29,37.9,21,28,75.0,16,39,55,33,3,6,15,13,13
DEN,DEN @ DET,11/20/2023,W,240,107,40,87,46.0,11,28,39.3,16,21,76.2,11,32,43,30,7,8,14,17,4
DET,DET vs. DEN,11/20/2023,L,240,103,36,81,44.4,7,21,33.3,24,26,92.3,11,32,43,21,7,5,18,24,-4
CHI,CHI vs. MIA,11/20/2023,L,240,100,37,81,45.7,11,37,29.7,15,16,93.8,7,29,36,21,2,7,11,16,-18
MIA,MIA @ CHI,11/20/2023,W,240,118,42,84,50.0,17,35,48.6,17,20,85.0,9,34,43,31,7,1,10,19,18
NYK,NYK @ MIN,11/20/2023,L,240,100,32,92,34.8,9,38,23.7,27,34,79.4,17,33,50,16,8,3,10,23,-17
MIN,MIN vs. NYK,11/20/2023,W,240,117,41,80,51.3,11,34,32.4,24,32,75.0,7,37,44,30,7,7,14,26,17
NOP,NOP vs. SAC,11/20/2023,W,240,129,50,92,54.3,12,28,42.9,17,21,81.0,10,45,55,38,8,6,12,19,36
SAC,SAC @ NOP,11/20/2023,L,240,93,33,87,37.9,11,45,24.4,16,24,66.7,9,27,36,27,4,5,13,21,-36
BKN,BKN vs. PHI,11/19/2023,L,240,99,38,81,46.9,11,28,39.3,12,16,75.0,9,36,45,24,2,8,15,14,-22
PHI,PHI @ BKN,11/19/2023,W,240,121,44,94,46.8,16,35,45.7,17,18,94.4,10,34,44,32,8,4,5,18,22
IND,IND vs. ORL,11/19/2023,L,240,116,42,95,44.2,8,31,25.8,24,31,77.4,11,29,40,24,10,7,16,32,-12
ORL,ORL @ IND,11/19/2023,W,240,128,43,87,49.4,7,20,35.0,35,42,83.3,8,34,42,21,10,10,15,23,12
DEN,DEN @ CLE,11/19/2023,L,240,109,39,82,47.6,14,29,48.3,17,23,73.9,9,24,33,23,7,5,13,21,-12
CLE,CLE vs. DEN,11/19/2023,W,240,121,45,82,54.9,11,27,40.7,20,26,76.9,11,36,47,30,6,5,14,18,12
SAC,SAC @ DAL,11/19/2023,W,240,129,48,90,53.3,17,40,42.5,16,21,76.2,14,34,48,34,9,3,13,20,16
DAL,DAL vs. SAC,11/19/2023,L,240,113,41,88,46.6,12,34,35.3,19,26,73.1,11,29,40,23,8,2,10,15,-16
BOS,BOS @ MEM,11/19/2023,W,240,102,35,77,45.5,12,31,38.7,20,25,80.0,9,36,45,20,6,10,17,19,2
MEM,MEM vs. BOS,11/19/2023,L,240,100,37,95,38.9,17,44,38.6,9,10,90.0,14,28,42,28,7,5,11,21,-2
OKC,OKC @ POR,11/19/2023,W,240,134,49,81,60.5,22,36,61.1,14,14,100,10,33,43,28,8,3,18,18,43
POR,POR vs. OKC,11/19/2023,L,240,91,34,85,40.0,9,34,26.5,14,21,66.7,13,18,31,21,10,2,19,15,-43
PHX,PHX @ UTA,11/19/2023,W,290,140,50,102,49.0,18,45,40.0,22,26,84.6,11,33,44,36,11,13,18,28,3
UTA,UTA vs. PHX,11/19/2023,L,290,137,48,115,41.7,15,46,32.6,26,32,81.3,27,32,59,27,11,5,19,27,-3
LAL,LAL vs. HOU,11/19/2023,W,240,105,39,83,47.0,6,29,20.7,21,29,72.4,10,32,42,26,13,1,18,13,1
HOU,HOU @ LAL,11/19/2023,L,240,104,41,84,48.8,14,37,37.8,8,10,80.0,6,28,34,35,7,3,18,25,-1
DET,DET @ TOR,11/19/2023,L,240,113,39,83,47.0,9,26,34.6,26,35,74.3,7,34,41,25,3,3,17,23,-29
TOR,TOR vs. DET,11/19/2023,W,240,142,55,102,53.9,14,36,38.9,18,29,62.1,12,35,47,44,10,5,8,23,29
CHA,CHA vs. NYK,11/18/2023,L,240,108,40,82,48.8,17,35,48.6,11,13,84.6,4,32,36,29,5,5,13,22,-14
NYK,NYK @ CHA,11/18/2023,W,240,122,46,91,50.5,16,37,43.2,14,19,73.7,13,34,47,27,7,4,12,13,14
MIN,MIN @ NOP,11/18/2023,W,240,121,43,80,53.8,13,31,41.9,22,27,81.5,5,28,33,29,6,7,14,21,1
NOP,NOP vs. MIN,11/18/2023,L,240,120,44,86,51.2,12,29,41.4,20,23,87.0,13,27,40,27,9,5,17,26,-1
MIA,MIA @ CHI,11/18/2023,L,240,97,33,77,42.9,12,36,33.3,19,23,82.6,5,29,34,23,9,0,15,18,-5
CHI,CHI vs. MIA,11/18/2023,W,240,102,36,81,44.4,16,45,35.6,14,19,73.7,10,34,44,24,9,6,13,22,5
DAL,DAL @ MIL,11/18/2023,L,240,125,51,103,49.5,16,47,34.0,7,10,70.0,11,38,49,27,1,2,12,16,-7
MIL,MIL vs. DAL,11/18/2023,W,240,132,49,94,52.1,17,45,37.8,17,20,85.0,5,36,41,29,8,3,7,16,7
SAS,SAS vs. MEM,11/18/2023,L,240,108,36,83,43.4,15,40,37.5,21,26,80.8,12,28,40,26,5,9,15,28,-12
MEM,MEM @ SAS,11/18/2023,W,240,120,40,86,46.5,11,33,33.3,29,36,80.6,12,33,45,23,7,3,14,25,12
OKC,OKC @ GSW,11/18/2023,W,265,130,52,100,52.0,8,23,34.8,18,20,90.0,9,38,47,26,8,7,12,16,7
GSW,GSW vs. OKC,11/18/2023,L,265,123,44,97,45.4,18,46,39.1,17,21,81.0,14,35,49,33,6,4,16,18,-7
CHA,CHA vs. MIL,11/17/2023,L,240,99,37,91,40.7,6,26,23.1,19,22,86.4,9,34,43,18,5,2,12,14,-31
MIL,MIL @ CHA,11/17/2023,W,240,130,49,89,55.1,22,45,48.9,10,13,76.9,4,45,49,32,4,7,13,21,31
WAS,WAS vs. NYK,11/17/2023,L,240,99,37,82,45.1,10,32,31.3,15,16,93.8,7,25,32,25,4,4,14,18,-21
TOR,TOR vs. BOS,11/17/2023,L,240,105,42,87,48.3,12,33,36.4,9,14,64.3,5,36,41,29,4,1,13,11,-3
BOS,BOS @ TOR,11/17/2023,W,240,108,42,92,45.7,16,46,34.8,8,9,88.9,8,36,44,29,5,4,11,13,3
ATL,ATL vs. PHI,11/17/2023,L,240,116,40,89,44.9,12,33,36.4,24,30,80.0,14,25,39,24,8,4,13,20,-10
PHI,PHI @ ATL,11/17/2023,W,240,126,43,88,48.9,13,30,43.3,27,28,96.4,13,30,43,32,9,4,17,20,10
DET,DET @ CLE,11/17/2023,L,240,100,39,91,42.9,9,35,25.7,13,15,86.7,18,33,51,20,8,6,17,19,-8
